"Time","Air Temp - Lascar (high res)"
1621897220000,21
1621897520000,21
1621897820000,21
1621898120000,21
1621898420000,21
1621898720000,21
1621899020000,21
1621899320000,21
1621899620000,21
1621899920000,21
1621900220000,21
1621900520000,21
1621900820000,21
1621901120000,21
1621901420000,21
1621901720000,21
1621902020000,21
1621902320000,21
1621902620000,21
1621902920000,21
1621903220000,21
1621903520000,21
1621903820000,21
1621904120000,20.5
1621904420000,20.5
1621904720000,20.5
1621905020000,20.5
1621905320000,20.5
1621905620000,20.5
1621905920000,20.5
1621906220000,20.5
1621906520000,20.5
1621906820000,20.5
1621907120000,20.5
1621907420000,20.5
1621907720000,20.5
1621908020000,20.5
1621908320000,20.5
1621908620000,20.5
1621908920000,20.5
1621909220000,20.5
1621909520000,20.5
1621909820000,20.5
1621910120000,20.5
1621910420000,20.5
1621910720000,20.5
1621911020000,20.5
1621911320000,20.5
1621911620000,20.5
1621911920000,20.5
1621912220000,20.5
1621912520000,20.5
1621912820000,20.5
1621913120000,20.5
1621913420000,20.5
1621913720000,20.5
1621914020000,20.5
1621914320000,20.5
1621914620000,20.5
1621914920000,20
1621915220000,20
1621915520000,20
1621915820000,20
1621916120000,20
1621916420000,20
1621916720000,20
1621917020000,20
1621917320000,20
1621917620000,20
1621917920000,20
1621918220000,20
1621918520000,20
1621918820000,20
1621919120000,20
1621919420000,20
1621919720000,20
1621920020000,20
1621920320000,20
1621920620000,20
1621920920000,20
1621921220000,20
1621921520000,20
1621921820000,20
1621922120000,20
1621922420000,20
1621922720000,20
1621923020000,20
1621923320000,20
1621923620000,20
1621923920000,20
1621924220000,20
1621924520000,20
1621924820000,20
1621925120000,20
1621925420000,20
1621925720000,20
1621926020000,20
1621926320000,20
1621926620000,20
1621926920000,20
1621927220000,20
1621927520000,20
1621927820000,20
1621928120000,20
1621928420000,20
1621928720000,20
1621929020000,20
1621929320000,20
1621929620000,20
1621929920000,20
1621930220000,20
1621930520000,20
1621930820000,20
1621931120000,20
1621931420000,20
1621931720000,20
1621932020000,20
1621932320000,20
1621932620000,20
1621932920000,20
1621933220000,20
1621933520000,20
1621933820000,20.5
1621934120000,20.5
1621934420000,20.5
1621934720000,20.5
1621935000000,21
1621935020000,20.5
1621935300000,21
1621935600000,21
1621935900000,21
1621936200000,21
1621936500000,21
1621936800000,21
1621937100000,21
1621937400000,21
1621937700000,21
1621938000000,21
1621938300000,21
1621938600000,21
1621938900000,21
1621939200000,21
1621939500000,21
1621939800000,21
1621940100000,21
1621940400000,21
1621940700000,21
1621941000000,21
1621941300000,21
1621941600000,21
1621941900000,21
1621942200000,21
1621942500000,21
1621942800000,21
1621943100000,21
1621943400000,21
1621943700000,21
1621944000000,21
1621944300000,21
1621944600000,21
1621944900000,21
1621945200000,21
1621945500000,21
1621945800000,21
1621946100000,21
1621946400000,21
1621946700000,21
1621947000000,21
1621947300000,21
1621947600000,21
1621947900000,21
1621948200000,21
1621948500000,21
1621948800000,21
1621949100000,21
1621949400000,21
1621949700000,21
1621950000000,21
1621950300000,21
1621950600000,21
1621950900000,21.5
1621951200000,21.5
1621951500000,21.5
1621951800000,21.5
1621952100000,22
1621952400000,22
1621952700000,22
1621953000000,22
1621953300000,22.5
1621953600000,22.5
1621953900000,22.5
1621954200000,22.5
1621954500000,22.5
1621954800000,23
1621955100000,23
1621955400000,23
1621955700000,23
1621956000000,23
1621956300000,23
1621956600000,23
1621956900000,23
1621957200000,23.5
1621957500000,23.5
1621957800000,23.5
