"Time","Radiance (high res)"
1621897200000,22.8
1621897320000,22.8
1621897440000,22.8
1621897560000,22.8
1621897680000,22.8
1621897800000,22.8
1621897920000,22.8
1621898040000,22.8
1621898160000,22.8
1621898280000,22.8
1621898400000,22.7
1621898520000,22.7
1621898640000,22.7
1621898760000,22.7
1621898880000,22.7
1621899000000,22.7
1621899120000,22.7
1621899240000,22.7
1621899360000,22.7
1621899480000,22.7
1621899600000,22.7
1621899720000,22.7
1621899840000,22.7
1621899960000,22.7
1621900080000,22.7
1621900200000,22.6
1621900320000,22.6
1621900440000,22.6
1621900560000,22.6
1621900680000,22.6
1621900800000,22.6
1621900920000,22.6
1621901040000,22.6
1621901160000,22.6
1621901280000,22.6
1621901400000,22.6
1621901520000,22.6
1621901640000,22.6
1621901760000,22.6
1621901880000,22.6
1621902000000,22.6
1621902120000,22.5
1621902240000,22.5
1621902360000,22.5
1621902480000,22.5
1621902600000,22.5
1621902720000,22.5
1621902840000,22.5
1621902960000,22.4
1621903080000,22.4
1621903200000,22.4
1621903320000,22.4
1621903440000,22.4
1621903560000,22.4
1621903680000,22.4
1621903800000,22.4
1621903920000,22.4
1621904040000,22.4
1621904160000,22.4
1621904280000,22.4
1621904400000,22.4
1621904520000,22.4
1621904640000,22.4
1621904760000,22.4
1621904880000,22.3
1621905000000,22.3
1621905120000,22.3
1621905240000,22.3
1621905360000,22.3
1621905480000,22.3
1621905600000,22.3
1621905720000,22.3
1621905840000,22.3
1621905960000,22.3
1621906080000,22.3
1621906200000,22.3
1621906320000,22.3
1621906440000,22.3
1621906560000,22.3
1621906680000,22.2
1621906800000,22.2
1621906920000,22.2
1621907040000,22.2
1621907160000,22.2
1621907280000,22.2
1621907400000,22.2
1621907520000,22.2
1621907640000,22.2
1621907760000,22.2
1621907880000,22.2
1621908000000,22.2
1621908120000,22.2
1621908240000,22.2
1621908360000,22.1
1621908480000,22.1
1621908600000,22.1
1621908720000,22.1
1621908840000,22.1
1621908960000,22.1
1621909080000,22.1
1621909200000,22.1
1621909320000,22.1
1621909440000,22.1
1621909560000,22.1
1621909680000,22.1
1621909800000,22.1
1621909920000,22.1
1621910040000,22.1
1621910160000,22
1621910280000,22
1621910400000,22
1621910520000,22
1621910640000,22
1621910760000,22
1621910880000,22
1621911000000,22
1621911120000,21.9
1621911240000,21.9
1621911360000,21.9
1621911480000,21.9
1621911600000,21.9
1621911720000,21.9
1621911840000,21.9
1621911960000,21.9
1621912080000,21.9
1621912200000,21.9
1621912320000,21.9
1621912440000,21.9
1621912560000,21.9
1621912680000,21.9
1621912800000,21.9
1621912920000,21.8
1621913040000,21.8
1621913160000,21.8
1621913280000,21.8
1621913400000,21.8
1621913520000,21.8
1621913640000,21.8
1621913760000,21.8
1621913880000,21.8
1621914000000,21.8
1621914120000,21.8
1621914240000,21.8
1621914360000,21.8
1621914480000,21.8
1621914600000,21.8
1621914720000,21.8
1621914840000,21.8
1621914960000,21.7
1621915080000,21.7
1621915200000,21.7
1621915320000,21.7
1621915440000,21.7
1621915560000,21.7
1621915680000,21.7
1621915800000,21.7
1621915920000,21.7
1621916040000,21.7
1621916160000,21.7
1621916280000,21.7
1621916400000,21.7
1621916520000,21.7
1621916640000,21.7
1621916760000,21.7
1621916880000,21.7
1621917000000,21.6
1621917120000,21.6
1621917240000,21.6
1621917360000,21.6
1621917480000,21.6
1621917600000,21.6
1621917720000,21.6
1621917840000,21.6
1621917960000,21.6
1621918080000,21.6
1621918200000,21.6
1621918320000,21.6
1621918440000,21.6
1621918560000,21.6
1621918680000,21.6
1621918800000,21.6
1621918920000,21.6
1621919040000,21.6
1621919160000,21.5
1621919280000,21.5
1621919400000,21.5
1621919520000,21.6
1621919640000,21.6
1621919760000,21.6
1621919880000,21.7
1621920000000,21.7
1621920120000,21.7
1621920240000,21.8
1621920360000,21.9
1621920480000,21.9
1621920600000,22
1621920720000,22.1
1621920840000,22.1
1621920960000,22.2
1621921080000,22.3
1621921200000,22.3
1621921320000,22.4
1621921440000,22.5
1621921560000,22.6
1621921680000,22.7
1621921800000,22.8
1621921920000,22.9
1621922040000,23
1621922160000,23.1
1621922280000,23.2
1621922400000,23.3
1621922520000,23.4
1621922640000,23.5
1621922760000,23.6
1621922880000,23.7
1621923000000,23.7
1621923120000,23.8
1621923240000,23.9
1621923360000,23.9
1621923480000,23.9
1621923600000,23.9
1621923720000,23.9
1621923840000,23.9
1621923960000,23.9
1621924080000,23.9
1621924200000,23.9
1621924320000,23.9
1621924440000,23.9
1621924560000,23.8
1621924680000,23.8
1621924800000,23.8
1621924920000,23.7
1621925040000,23.7
1621925160000,23.7
1621925280000,23.7
1621925400000,23.6
1621925520000,23.6
1621925640000,23.6
1621925760000,23.6
1621925880000,23.5
1621926000000,23.5
1621926120000,23.4
1621926240000,23.4
1621926360000,23.4
1621926480000,23.4
1621926600000,23.4
1621926720000,23.4
1621926840000,23.4
1621926960000,23.4
1621927080000,23.4
1621927200000,23.4
1621927320000,23.4
1621927440000,23.4
1621927560000,23.4
1621927680000,23.4
1621927800000,23.4
1621927920000,23.4
1621928040000,23.4
1621928160000,23.4
1621928280000,23.4
1621928400000,23.4
1621928520000,23.4
1621928640000,23.3
1621928760000,23.3
1621928880000,23.3
1621929000000,23.3
1621929120000,23.3
1621929240000,23.3
1621929360000,23.3
1621929480000,23.3
1621929600000,23.3
1621929720000,23.3
1621929840000,23.3
1621929960000,23.3
1621930080000,23.3
1621930200000,23.3
1621930320000,23.3
1621930440000,23.3
1621930560000,23.4
1621930680000,23.4
1621930800000,23.4
1621930920000,23.4
1621931040000,23.4
1621931160000,23.4
1621931280000,23.4
1621931400000,23.4
1621931520000,23.4
1621931640000,23.4
1621931760000,23.4
1621931880000,23.4
1621932000000,23.4
1621932120000,23.4
1621932240000,23.4
1621932360000,23.4
1621932480000,23.4
1621932600000,23.4
1621932720000,23.4
1621932840000,23.4
1621932960000,23.4
1621933080000,23.4
1621933200000,23.4
1621933320000,23.4
1621933440000,23.4
1621933560000,23.4
1621933680000,23.4
1621933800000,23.3
1621933920000,23.3
1621934040000,23.3
1621934160000,23.3
1621934280000,23.3
1621934400000,23.3
1621934520000,23.3
1621934640000,23.3
1621934760000,23.3
1621934880000,23.3
1621935000000,23.3
1621935120000,23.3
1621935240000,23.3
1621935360000,23.3
1621935480000,23.3
1621935600000,23.3
1621935720000,23.3
1621935840000,23.3
1621935960000,23.3
1621936080000,23.3
1621936200000,23.3
1621936320000,23.3
1621936440000,23.3
1621936560000,23.3
1621936680000,23.3
1621936800000,23.3
1621936920000,23.3
1621937040000,23.3
1621937160000,23.3
1621937280000,23.3
1621937400000,23.3
1621937520000,23.3
1621937640000,23.3
1621937760000,23.4
1621937880000,23.4
1621938000000,23.4
1621938120000,23.4
1621938240000,23.4
1621938360000,23.4
1621938480000,23.4
1621938600000,23.4
1621938720000,23.3
1621938840000,23.3
1621938960000,23.3
1621939080000,23.3
1621939200000,23.3
1621939320000,23.3
1621939440000,23.3
1621939560000,23.3
1621939680000,23.3
1621939800000,23.3
1621939920000,23.3
1621940040000,23.3
1621940160000,23.3
1621940280000,23.3
1621940400000,23.5
1621940520000,23.5
1621940640000,23.5
1621940760000,23.4
1621940880000,23.4
1621941000000,23.4
1621941120000,23.4
1621941240000,23.4
1621941360000,23.3
1621941480000,23.3
1621941600000,23.3
1621941720000,23.3
1621941840000,23.3
1621941960000,23.3
1621942080000,23.3
1621942200000,23.3
1621942320000,23.3
1621942440000,23.3
1621942560000,23.3
1621942680000,23.3
1621942800000,23.3
1621942920000,23.3
1621943040000,23.3
1621943160000,23.3
1621943280000,23.3
1621943400000,23.3
1621943520000,23.3
1621943640000,23.3
