Time,Air Temperature (full resolution)
1609459200000,0.68
1609459800000,1.004
1609460400000,1.302
1609461000000,1.231
1609461600000,1.126
1609462200000,1.207
1609462800000,1.34
1609463400000,1.535
1609464000000,1.725
1609464600000,1.806
1609465200000,1.938
1609465800000,1.877
1609466400000,1.843
1609467000000,1.743
1609467600000,1.567
1609468200000,1.643
1609468800000,1.604
1609469400000,1.626
1609470000000,1.549
1609470600000,1.557
1609471200000,1.508
1609471800000,1.516
1609472400000,1.617
1609473000000,1.594
1609473600000,1.763
1609474200000,1.937
1609474800000,1.855
1609475400000,1.741
1609476000000,1.817
1609476600000,1.931
1609477200000,1.568
1609477800000,1.419
1609478400000,1.4
1609479000000,1.498
1609479600000,1.528
1609480200000,1.548
1609480800000,1.491
1609481400000,1.45
1609482000000,1.815
1609482600000,1.963
1609483200000,2.162
1609483800000,2.038
1609484400000,2
1609485000000,2.152
1609485600000,1.957
1609486200000,1.901
1609486800000,1.867
1609487400000,1.53
1609488000000,1.645
1609488600000,1.962
1609489200000,2.205
1609489800000,2.209
1609490400000,2.122
1609491000000,2.118
1609491600000,1.949
1609492200000,1.957
1609492800000,1.987
1609493400000,2.065
1609494000000,1.978
1609494600000,2.001
1609495200000,2.054
1609495800000,2.115
1609496400000,2.106
1609497000000,2.257
1609497600000,2.214
1609498200000,2.305
1609498800000,2.39
1609499400000,2.59
1609500000000,2.623
1609500600000,2.642
1609501200000,2.675
1609501800000,2.67
1609502400000,2.67
1609503000000,2.902
1609503600000,2.938
1609504200000,2.923
1609504800000,3.182
1609505400000,3.411
1609506000000,3.35
1609506600000,3.174
1609507200000,3.312
1609507800000,3.54
1609508400000,3.953
1609509000000,4.215
1609509600000,4.116
1609510200000,3.901
1609510800000,4.057
1609511400000,3.558
1609512000000,3.735
1609512600000,3.991
1609513200000,3.843
1609513800000,3.71
1609514400000,3.292
1609515000000,2.98
1609515600000,2.69
1609516200000,2.402
1609516800000,2.128
1609517400000,1.929
1609518000000,1.911
1609518600000,1.875
1609519200000,1.827
1609519800000,1.668
1609520400000,1.464
1609521000000,1.423
1609521600000,1.288
1609522200000,1.45
1609522800000,1.605
1609523400000,1.634
1609524000000,1.73
1609524600000,1.672
1609525200000,1.602
1609525800000,1.763
1609526400000,1.848
1609527000000,1.872
1609527600000,1.872
1609528200000,1.767
1609528800000,1.611
1609529400000,1.52
1609530000000,1.592
1609530600000,1.52
1609531200000,1.459
1609531800000,1.62
1609532400000,1.445
1609533000000,1.363
1609533600000,1.168
1609534200000,0.974
1609534800000,0.832
1609535400000,0.884
1609536000000,1.022
1609536600000,0.889
1609537200000,0.59
1609537800000,0.339
1609538400000,0.464
1609539000000,0.61
1609539600000,0.633
1609540200000,0.856
1609540800000,0.882
1609541400000,1.174
1609542000000,1.165
1609542600000,1.44
1609543200000,1.32
1609543800000,1.031
1609544400000,0.755
1609545000000,0.552
1609545600000,0.254
1609546200000,0.009
1609546800000,-0.222
1609547400000,-0.372
1609548000000,-0.237
1609548600000,-0.371
1609549200000,-0.529
1609549800000,-0.351
1609550400000,-0.148
1609551000000,0.057
1609551600000,0.305
1609552200000,0.024
1609552800000,-0.23
1609553400000,0.132
1609554000000,-0.163
1609554600000,0.012
1609555200000,0.03
1609555800000,0.016
1609556400000,0.002
1609557000000,-0.076
1609557600000,-0.018
1609558200000,-0.075
1609558800000,-0.345
1609559400000,-0.453
1609560000000,-0.462
1609560600000,-0.49
1609561200000,-0.44
1609561800000,-0.937
1609562400000,-1.199
1609563000000,-1.364
1609563600000,-1.255
1609564200000,-1.274
1609564800000,-1.165
1609565400000,-1.15
1609566000000,-1.442
1609566600000,-1.877
1609567200000,-1.89
1609567800000,-1.665
1609568400000,-1.723
1609569000000,-1.491
1609569600000,-1.347
1609570200000,-1.089
1609570800000,-1.164
1609571400000,-1.095
1609572000000,-1.073
1609572600000,-1.084
1609573200000,-1.364
1609573800000,-1.367
1609574400000,-1.044
1609575000000,-0.874
1609575600000,-0.818
1609576200000,-1.28
1609576800000,-1.592
1609577400000,-1.531
1609578000000,-1.612
1609578600000,-1.726
1609579200000,-2.031
1609579800000,-2.423
1609580400000,-1.831
1609581000000,-1.509
1609581600000,-1.277
1609582200000,-0.497
1609582800000,-0.485
1609583400000,-0.319
1609584000000,-0.205
1609584600000,0.026
1609585200000,0.071
1609585800000,0.098
1609586400000,0.154
1609587000000,0.276
1609587600000,0.172
1609588200000,0.224
1609588800000,0.29
1609589400000,0.181
1609590000000,0.286
1609590600000,0.247
1609591200000,0.152
1609591800000,0.02
1609592400000,0.139
1609593000000,0.162
1609593600000,0.286
1609594200000,0.343
1609594800000,0.338
1609595400000,0.214
1609596000000,0.219
1609596600000,0.153
1609597200000,0.338
1609597800000,0.504
1609598400000,0.547
1609599000000,0.542
1609599600000,0.561
1609600200000,0.637
1609600800000,0.789
1609601400000,0.732
1609602000000,0.599
1609602600000,0.532
1609603200000,0.561
1609603800000,0.542
1609604400000,0.438
1609605000000,0.385
1609605600000,0.271
1609606200000,0.248
1609606800000,0.31
1609607400000,0.202
1609608000000,-0.056
1609608600000,-0.041
1609609200000,0.002
1609609800000,0.026
1609610400000,0.111
1609611000000,-0.154
1609611600000,-0.12
1609612200000,0.081
1609612800000,0.168
1609613400000,-0.019
1609614000000,-0.14
1609614600000,0.056
1609615200000,0.147
1609615800000,0.254
1609616400000,0.008
1609617000000,-0.305
1609617600000,-0.195
1609618200000,0.176
1609618800000,0.599
1609619400000,0.627
1609620000000,0.344
1609620600000,0.109
1609621200000,0.196
1609621800000,0.367
1609622400000,0.393
1609623000000,0.382
1609623600000,0.5
1609624200000,0.557
1609624800000,0.59
1609625400000,0.723
1609626000000,0.785
1609626600000,0.994
1609627200000,0.872
1609627800000,0.682
1609628400000,0.658
1609629000000,0.719
1609629600000,0.806
1609630200000,0.45
1609630800000,0.222
1609631400000,0.069
1609632000000,-0.036
1609632600000,0.044
1609633200000,0.036
1609633800000,0.251
1609634400000,0.396
1609635000000,0.748
1609635600000,0.784
1609636200000,0.922
1609636800000,0.958
1609637400000,0.957
1609638000000,1.005
1609638600000,0.92
1609639200000,1.299
1609639800000,1.237
1609640400000,1.146
1609641000000,1.174
1609641600000,0.917
1609642200000,0.751
1609642800000,0.871
1609643400000,1.017
1609644000000,1.241
1609644600000,1.183
1609645200000,0.874
1609645800000,0.942
1609646400000,1.122
1609647000000,1.293
1609647600000,1.164
1609648200000,1.312
1609648800000,1.474
1609649400000,1.663
1609650000000,1.777
1609650600000,1.801
1609651200000,1.714
1609651800000,1.401
1609652400000,1.439
1609653000000,1.297
1609653600000,1.202
1609654200000,1.093
1609654800000,1.093
1609655400000,0.95
1609656000000,0.984
1609656600000,0.999
1609657200000,1.293
1609657800000,1.273
1609658400000,1.089
1609659000000,1.183
1609659600000,1.112
1609660200000,0.974
1609660800000,1.084
1609661400000,0.965
1609662000000,0.756
1609662600000,0.703
1609663200000,0.661
1609663800000,0.708
1609664400000,0.685
1609665000000,0.837
1609665600000,1.023
1609666200000,1.412
1609666800000,1.535
1609667400000,1.606
1609668000000,1.753
1609668600000,1.755
1609669200000,1.727
1609669800000,1.882
1609670400000,2.141
1609671000000,2.273
1609671600000,2.876
1609672200000,3.265
1609672800000,3.544
1609673400000,3.484
1609674000000,3.547
1609674600000,3.753
1609675200000,3.326
1609675800000,3.331
1609676400000,3.545
1609677000000,3.915
1609677600000,3.676
1609678200000,3.766
1609678800000,3.856
1609679400000,4.105
1609680000000,4.105
1609680600000,4.356
1609681200000,4.423
1609681800000,4.47
1609682400000,4.487
1609683000000,4.335
1609683600000,4.266
1609684200000,4.259
1609684800000,4.162
1609685400000,4.028
1609686000000,4.144
1609686600000,3.957
1609687200000,3.641
1609687800000,3.406
1609688400000,3.259
1609689000000,3.145
1609689600000,2.689
1609690200000,2.427
1609690800000,2.164
1609691400000,2.189
1609692000000,1.928
1609692600000,1.949
1609693200000,1.739
1609693800000,1.658
1609694400000,1.65
1609695000000,1.901
1609695600000,2.209
1609696200000,1.987
1609696800000,2.101
1609697400000,2.149
1609698000000,2.325
1609698600000,2.349
1609699200000,2.456
1609699800000,2.47
1609700400000,2.477
1609701000000,2.287
1609701600000,2.247
1609702200000,2.121
1609702800000,2.211
1609703400000,2.255
1609704000000,1.912
1609704600000,1.622
1609705200000,1.544
1609705800000,1.376
1609706400000,1.135
1609707000000,1.017
1609707600000,1.25
1609708200000,1.25
1609708800000,1.202
1609709400000,0.622
1609710000000,0.466
1609710600000,0.78
1609711200000,0.994
1609711800000,1.298
1609712400000,1.246
1609713000000,1.07
1609713600000,0.979
1609714200000,0.937
1609714800000,1.174
1609715400000,1.183
1609716000000,1.093
1609716600000,1.008
1609717200000,0.993
1609717800000,0.841
1609718400000,0.675
1609719000000,0.699
1609719600000,0.799
1609720200000,0.641
1609720800000,0.49
1609721400000,0.366
1609722000000,0.068
1609722600000,-0.084
1609723200000,0.159
1609723800000,-0.056
1609724400000,-0.118
1609725000000,-0.282
1609725600000,-0.283
1609726200000,-0.142
1609726800000,0.221
1609727400000,0.507
1609728000000,0.398
1609728600000,0.324
1609729200000,0.465
1609729800000,0.504
1609730400000,0.394
1609731000000,0.195
1609731600000,0.134
1609732200000,0.271
1609732800000,0.508
1609733400000,0.515
1609734000000,0.314
1609734600000,0.254
1609735200000,0.646
1609735800000,0.636
1609736400000,0.479
1609737000000,0.403
1609737600000,0.688
1609738200000,1.05
1609738800000,1.294
1609739400000,1.209
1609740000000,1.52
1609740600000,1.803
1609741200000,1.735
1609741800000,1.814
1609742400000,1.363
1609743000000,1.349
1609743600000,1.331
1609744200000,1.059
1609744800000,0.675
1609745400000,0.585
1609746000000,0.509
1609746600000,0.538
1609747200000,0.78
1609747800000,0.595
1609748400000,0.166
1609749000000,-0.16
1609749600000,-0.097
1609750200000,0.113
1609750800000,0.3
1609751400000,0.312
1609752000000,0.178
1609752600000,0.257
1609753200000,0.487
1609753800000,1.188
1609754400000,1.571
1609755000000,1.754
1609755600000,1.521
1609756200000,1.987
1609756800000,2.343
1609757400000,2.569
1609758000000,2.685
1609758600000,2.429
1609759200000,2.305
1609759800000,2.186
1609760400000,2.267
1609761000000,2.457
1609761600000,2.756
1609762200000,2.884
1609762800000,2.78
1609763400000,3.027
1609764000000,3.179
1609764600000,3.196
1609765200000,3.141
1609765800000,3.066
1609766400000,3.127
1609767000000,3.197
1609767600000,3.05
1609768200000,2.952
1609768800000,2.995
1609769400000,2.972
1609770000000,2.887
1609770600000,2.888
1609771200000,2.951
1609771800000,2.91
1609772400000,3.032
1609773000000,3.202
1609773600000,3.126
1609774200000,2.904
1609774800000,2.691
1609775400000,2.507
1609776000000,2.48
1609776600000,2.392
1609777200000,1.918
1609777800000,1.93
1609778400000,2.343
1609779000000,2.499
1609779600000,2.499
1609780200000,2.414
1609780800000,2.523
1609781400000,2.538
1609782000000,2.594
1609782600000,2.565
1609783200000,2.404
1609783800000,2.333
1609784400000,1.957
1609785000000,1.792
1609785600000,1.725
1609786200000,1.837
1609786800000,1.7
1609787400000,1.837
1609788000000,1.862
1609788600000,2.081
1609789200000,2.2
1609789800000,2.323
1609790400000,2.194
1609791000000,2.015
1609791600000,1.934
1609792200000,1.8
1609792800000,1.715
1609793400000,1.687
1609794000000,1.839
1609794600000,1.577
1609795200000,1.63
1609795800000,1.749
1609796400000,2.21
1609797000000,2.399
1609797600000,2.523
1609798200000,2.356
1609798800000,2.181
1609799400000,2.032
1609800000000,1.737
1609800600000,1.273
1609801200000,1.335
1609801800000,0.87
1609802400000,1.065
1609803000000,1.131
1609803600000,1.002
1609804200000,0.537
1609804800000,0.238
1609805400000,0.229
1609806000000,0.524
1609806600000,0.725
1609807200000,0.857
1609807800000,0.471
1609808400000,0.457
1609809000000,0.62
1609809600000,0.702
1609810200000,0.632
1609810800000,0.325
1609811400000,0.182
1609812000000,0.027
1609812600000,-0.012
1609813200000,0.227
1609813800000,0.199
1609814400000,0.151
1609815000000,0.091
1609815600000,0.192
1609816200000,0.274
1609816800000,0.358
1609817400000,0.375
1609818000000,0.41
1609818600000,0.268
1609819200000,0.187
1609819800000,0.209
1609820400000,0.354
1609821000000,0.54
1609821600000,0.348
1609822200000,0.012
1609822800000,-0.261
1609823400000,-0.348
1609824000000,-0.176
1609824600000,0.087
1609825200000,0.315
1609825800000,0.889
1609826400000,0.883
1609827000000,0.946
1609827600000,1.051
1609828200000,1.074
1609828800000,0.852
1609829400000,0.562
1609830000000,0.568
1609830600000,0.825
1609831200000,1
1609831800000,1.095
1609832400000,1.179
1609833000000,1.17
1609833600000,1.169
1609834200000,1.192
1609834800000,1.193
1609835400000,1.293
1609836000000,1.402
1609836600000,1.416
1609837200000,1.487
1609837800000,1.406
1609838400000,1.445
1609839000000,1.397
1609839600000,1.288
1609840200000,1.264
1609840800000,1.364
1609841400000,1.283
1609842000000,1.411
1609842600000,1.55
1609843200000,1.94
1609843800000,2.295
1609844400000,2.325
1609845000000,2.31
1609845600000,2.244
1609846200000,2.333
1609846800000,2.552
1609847400000,2.98
1609848000000,3.136
1609848600000,3.14
1609849200000,3.28
1609849800000,3.52
1609850400000,4.05
1609851000000,4.412
1609851600000,3.684
1609852200000,3.219
1609852800000,2.991
1609853400000,2.826
1609854000000,2.989
1609854600000,3.364
1609855200000,3.687
1609855800000,3.71
1609856400000,3.377
1609857000000,3.416
1609857600000,3.301
1609858200000,3.026
1609858800000,2.78
1609859400000,2.756
1609860000000,2.546
1609860600000,2.148
1609861200000,1.959
1609861800000,2.019
1609862400000,1.885
1609863000000,1.686
1609863600000,1.558
1609864200000,1.526
1609864800000,1.426
1609865400000,1.26
1609866000000,1.208
1609866600000,1.285
1609867200000,1.308
1609867800000,1.605
1609868400000,1.699
1609869000000,1.656
1609869600000,1.572
1609870200000,1.524
1609870800000,1.705
1609871400000,1.812
1609872000000,1.844
1609872600000,1.831
1609873200000,1.849
1609873800000,1.602
1609874400000,1.408
1609875000000,1.377
1609875600000,1.167
1609876200000,1.209
1609876800000,1.145
1609877400000,1.264
1609878000000,1.159
1609878600000,0.979
1609879200000,0.942
1609879800000,0.946
1609880400000,0.893
1609881000000,0.893
1609881600000,0.999
1609882200000,1.041
1609882800000,0.722
1609883400000,0.509
1609884000000,0.447
1609884600000,0.176
1609885200000,0.162
1609885800000,0.271
1609886400000,0.524
1609887000000,0.748
1609887600000,0.995
1609888200000,1.213
1609888800000,1.126
1609889400000,1.212
1609890000000,1.331
1609890600000,1.297
1609891200000,1.222
1609891800000,1.288
1609892400000,1.283
1609893000000,1.24
1609893600000,1.335
1609894200000,1.255
1609894800000,1.245
1609895400000,1.259
1609896000000,1.088
1609896600000,1.069
1609897200000,1.046
1609897800000,1.16
1609898400000,1.135
1609899000000,0.698
1609899600000,0.537
1609900200000,0.261
1609900800000,-0.108
1609901400000,0.5
1609902000000,0.767
1609902600000,0.785
1609903200000,0.447
1609903800000,0.195
1609904400000,0.124
1609905000000,0.136
1609905600000,0.533
1609906200000,0.767
1609906800000,0.795
1609907400000,0.728
1609908000000,0.47
1609908600000,-0.128
1609909200000,-0.208
1609909800000,-0.274
1609910400000,-0.32
1609911000000,-0.357
1609911600000,-0.355
1609912200000,-0.32
1609912800000,-0.419
1609913400000,-0.618
1609914000000,-0.941
1609914600000,-1.197
1609915200000,-1.044
1609915800000,-0.973
1609916400000,-1.066
1609917000000,-1.179
1609917600000,-1.229
1609918200000,-1.403
1609918800000,-1.335
1609919400000,-0.76
1609920000000,-0.39
1609920600000,-0.272
1609921200000,-0.5
1609921800000,-0.52
1609922400000,-0.604
1609923000000,-0.766
1609923600000,-0.846
1609924200000,-0.738
1609924800000,-0.832
1609925400000,-0.585
1609926000000,0.09
1609926600000,0.331
1609927200000,0.752
1609927800000,0.796
1609928400000,0.922
1609929000000,0.877
1609929600000,1.118
1609930200000,1.369
1609930800000,1.611
1609931400000,1.716
1609932000000,1.792
1609932600000,1.823
1609933200000,1.926
1609933800000,2.172
1609934400000,2.31
1609935000000,2.403
1609935600000,2.468
1609936200000,2.464
1609936800000,2.591
1609937400000,2.709
1609938000000,3.023
1609938600000,3.198
1609939200000,3.443
1609939800000,3.516
1609940400000,3.363
1609941000000,2.984
1609941600000,2.846
1609942200000,2.776
1609942800000,2.923
1609943400000,3.05
1609944000000,2.913
1609944600000,2.77
1609945200000,2.69
1609945800000,2.861
1609946400000,2.841
1609947000000,2.49
1609947600000,2.209
1609948200000,1.788
1609948800000,1.683
1609949400000,1.295
1609950000000,0.951
1609950600000,0.754
1609951200000,0.493
1609951800000,0.063
1609952400000,-0.106
1609953000000,-0.153
1609953600000,-0.047
1609954200000,-0.071
1609954800000,-0.211
1609955400000,-0.245
1609956000000,-0.735
1609956600000,-0.879
1609957200000,-1.098
1609957800000,-1.047
1609958400000,-0.792
1609959000000,-0.597
1609959600000,-0.879
1609960200000,-0.999
1609960800000,-1.172
1609961400000,-1.023
1609962000000,-0.87
1609962600000,-0.704
1609963200000,-1.028
1609963800000,-1.44
1609964400000,-1.45
1609965000000,-1.582
1609965600000,-1.122
1609966200000,-0.969
1609966800000,-0.532
1609967400000,-0.457
1609968000000,-0.509
1609968600000,-0.747
1609969200000,-0.971
1609969800000,-1.331
1609970400000,-1.464
1609971000000,-1.702
1609971600000,-1.794
1609972200000,-1.991
1609972800000,-1.831
1609973400000,-1.77
1609974000000,-1.906
1609974600000,-1.797
1609975200000,-1.77
1609975800000,-1.895
1609976400000,-1.923
1609977000000,-1.819
1609977600000,-2.137
1609978200000,-2.161
1609978800000,-1.987
1609979400000,-2
1609980000000,-1.923
1609980600000,-2.014
1609981200000,-1.984
1609981800000,-1.694
1609982400000,-1.651
1609983000000,-1.777
1609983600000,-1.673
1609984200000,-1.623
1609984800000,-1.918
1609985400000,-2.255
1609986000000,-1.855
1609986600000,-1.851
1609987200000,-1.821
1609987800000,-1.886
1609988400000,-1.88
1609989000000,-2.093
1609989600000,-2.629
1609990200000,-2.353
1609990800000,-2.03
1609991400000,-2.169
1609992000000,-2.01
1609992600000,-1.894
1609993200000,-1.813
1609993800000,-1.434
1609994400000,-2.133
1609995000000,-2.832
1609995600000,-3.102
1609996200000,-3.45
1609996800000,-3.57
1609997400000,-3.181
1609998000000,-2.915
1609998600000,-2.657
1609999200000,-2.116
1609999800000,-2.197
1610000400000,-1.713
1610001000000,-1.266
1610001600000,-1.006
1610002200000,-1.143
1610002800000,-1.399
1610003400000,-1.572
1610004000000,-1.506
1610004600000,-1.355
1610005200000,-1.521
1610005800000,-1.783
1610006400000,-2.105
1610007000000,-1.93
1610007600000,-2.201
1610008200000,-1.827
1610008800000,-1.45
1610009400000,-1.035
1610010000000,-1.081
1610010600000,-0.732
1610011200000,-0.537
1610011800000,-0.209
1610012400000,0.025
1610013000000,0.124
1610013600000,0.529
1610014200000,0.768
1610014800000,0.754
1610015400000,0.714
1610016000000,0.827
1610016600000,0.87
1610017200000,0.96
1610017800000,1.031
1610018400000,1.098
1610019000000,1.055
1610019600000,1.079
1610020200000,1.293
1610020800000,1.554
1610021400000,1.744
1610022000000,1.587
1610022600000,1.532
1610023200000,1.35
1610023800000,1.241
1610024400000,1.236
1610025000000,1.317
1610025600000,1.374
1610026200000,1.459
1610026800000,1.55
1610027400000,1.607
1610028000000,1.602
1610028600000,1.692
1610029200000,1.654
1610029800000,1.607
1610030400000,1.702
1610031000000,1.668
1610031600000,1.663
1610032200000,1.706
1610032800000,1.725
1610033400000,1.711
1610034000000,1.721
1610034600000,1.735
1610035200000,1.749
1610035800000,1.697
1610036400000,1.654
1610037000000,1.635
1610037600000,1.616
1610038200000,1.592
1610038800000,1.53
1610039400000,1.507
1610040000000,1.545
1610040600000,1.445
1610041200000,1.441
1610041800000,1.44
1610042400000,1.455
1610043000000,1.297
1610043600000,1.132
1610044200000,1.023
1610044800000,0.972
1610045400000,0.964
1610046000000,1.049
1610046600000,1.115
1610047200000,1.092
1610047800000,1.002
1610048400000,1.051
1610049000000,1.033
1610049600000,1.062
1610050200000,1.075
1610050800000,1.082
1610051400000,0.964
1610052000000,1.049
1610052600000,1.078
1610053200000,1.093
1610053800000,1.069
1610054400000,1.093
1610055000000,1.026
1610055600000,0.96
1610056200000,0.96
1610056800000,0.86
1610057400000,0.798
1610058000000,0.699
1610058600000,0.775
1610059200000,0.732
1610059800000,0.785
1610060400000,0.865
1610061000000,0.818
1610061600000,0.718
1610062200000,0.727
1610062800000,0.808
1610063400000,0.789
1610064000000,0.765
1610064600000,0.732
1610065200000,0.742
1610065800000,0.661
1610066400000,0.665
1610067000000,0.609
1610067600000,0.732
1610068200000,0.67
1610068800000,0.618
1610069400000,0.637
1610070000000,0.675
1610070600000,0.524
1610071200000,0.613
1610071800000,0.661
1610072400000,0.528
1610073000000,0.442
1610073600000,0.343
1610074200000,0.319
1610074800000,0.271
1610075400000,0.333
1610076000000,0.305
1610076600000,0.285
1610077200000,0.195
1610077800000,0.181
1610078400000,0.157
1610079000000,0.129
1610079600000,0.134
1610080200000,0.115
1610080800000,0.101
1610081400000,0.133
1610082000000,0.105
1610082600000,0.181
1610083200000,0.291
1610083800000,0.324
1610084400000,0.338
1610085000000,0.405
1610085600000,0.381
1610086200000,0.381
1610086800000,0.419
1610087400000,0.528
1610088000000,0.533
1610088600000,0.571
1610089200000,0.561
1610089800000,0.495
1610090400000,0.523
1610091000000,0.59
1610091600000,0.67
1610092200000,0.751
1610092800000,0.694
1610093400000,0.718
1610094000000,0.737
1610094600000,0.656
1610095200000,0.68
1610095800000,0.613
1610096400000,0.652
1610097000000,0.656
1610097600000,0.751
1610098200000,0.87
1610098800000,0.813
1610099400000,0.817
1610100000000,0.841
1610100600000,0.823
1610101200000,0.87
1610101800000,0.803
1610102400000,0.751
1610103000000,0.784
1610103600000,0.742
1610104200000,0.723
1610104800000,0.713
1610105400000,0.756
1610106000000,0.856
1610106600000,0.837
1610107200000,0.841
1610107800000,0.884
1610108400000,0.87
1610109000000,0.918
1610109600000,0.898
1610110200000,0.974
1610110800000,0.932
1610111400000,0.903
1610112000000,0.784
1610112600000,0.746
1610113200000,0.67
1610113800000,0.628
1610114400000,0.608
1610115000000,0.59
1610115600000,0.404
1610116200000,0.295
1610116800000,0.11
1610117400000,0.001
1610118000000,-0.061
1610118600000,-0.128
1610119200000,-0.208
1610119800000,-0.242
1610120400000,-0.232
1610121000000,-0.242
1610121600000,-0.27
1610122200000,-0.237
1610122800000,-0.237
1610123400000,-0.212
1610124000000,-0.175
1610124600000,-0.188
1610125200000,-0.145
1610125800000,-0.027
1610126400000,0.034
1610127000000,0.086
1610127600000,0.186
1610128200000,0.2
1610128800000,0.167
1610129400000,0.158
1610130000000,0.181
1610130600000,0.081
1610131200000,0.062
1610131800000,-0.004
1610132400000,-0.095
1610133000000,-0.151
1610133600000,-0.256
1610134200000,-0.312
1610134800000,-0.269
1610135400000,-0.311
1610136000000,-0.401
